index,price_clp,price_uf,price_usd,ubicacion,dorms,baths,built area,total area,parking,id,realtor,comuna_id
5002,318530500,8950,396676,QuilínconRamónCruz,4,3.0,140.0,328.0,4.0,11201221,Nexxos,16
5003,79990000,2248,99614,Quilicura,1,1.0,140.0,160.0,,8560032,Agente Propiedades,25
5004,807893000,22700,1006093,Elalamein,5,3.0,227.0,227.0,3.0,4025597,Corredores Independientes,12
5005,391312050,10995,487313,CaminoLoreto/CaminoLonquen,5,3.0,5300.0,5300.0,,9759627,Tsi Property,44
5006,247350500,6950,308033,Larrain,2,2.0,91.0,140.0,4.0,9297045,Unne,13
5007,391490000,11000,487534,CaminoSantaSara/CondominioQuilquén/Batuco-Lampa,4,4.0,350.0,5500.0,2.0,10541993,Mauricio Pino Propiedades,36
5008,68000000,1911,84682,puntadehorcon,2,1.0,40.0,230.0,5.0,9078217,Unne,10
5009,72000000,2023,89664,SanBernardo,2,1.0,50.0,80.0,2.0,8502257,Agente Propiedades,29
5010,138000000,3877,171856,SanBernardo,3,2.0,116.0,94.0,2.0,11210771,Agente Propiedades,29
5011,153000000,4299,190535,Santiago,3,2.0,64.0,149.0,3.0,9474715,Agente Propiedades,33
5012,256000000,7193,318804,Noespecifica,4,2.0,113.0,270.0,2.0,11218161,Todo Propiedades,12
5013,423521000,11900,527423,Noespecifica,4,4.0,156.0,280.0,2.0,11218236,Todo Propiedades,21
5014,4100,0,5,Asunción2169,4,3.0,107.0,145.0,3.0,11145488,Maison & Corredores de propiedades,17
5015,149000000,4187,185554,ParcelaciónElBelloto,3,2.0,118.0,13800.0,5.0,7137970,Unne,40
5016,583676000,16400,726869,Colina,5,4.0,280.0,6000.0,6.0,9969248,PROPERTY BROKER  Gestión Inmobiliaria,35
5017,147876450,4155,184155,ReySalomon,3,2.0,805.0,187.0,1.0,10549062,Easyprop,17
5018,179587140,5046,223645,MetroCarlosValdovinos,3,2.0,101.0,192.0,1.0,9503630,Unne,16
5019,135242000,3800,168421,AviadorZañartu/FermínVivaceta/MetroConchali,2,1.0,74.0,234.0,3.0,9968287,Unne,2
5020,145000000,4074,180573,PedroAguirreCerda,5,3.0,141.0,176.0,1.0,9090606,Agente Propiedades,20
5021,195000000,5479,242839,Santiago,6,2.0,100.0,100.0,,7198790,Agente Propiedades,33
5022,177950000,5000,221606,PuenteAlto,3,3.0,158.0,138.0,1.0,7352075,Agente Propiedades,24
5023,295397000,8300,367867,LosOlmoscercaaAvda.PedrodeValdivia,7,4.0,200.0,300.0,5.0,6649117,Unne,16
5024,194926430,5477,242748,LaFlorida,4,3.0,129.0,161.0,3.0,8748456,Agente Propiedades,8
